"dpa","latitud","longitud"
"131550",-0.76732079233,-80.29724725070
"130852",-1.01396270166,-80.84634377300
"130350",-0.70070463452,-80.01636955760
"131453",-0.77827027478,-80.44570758430
"132251",-0.40955917996,-80.38433540490
"132150",-0.97538426225,-80.60470386070
"130351",-0.54637078410,-80.16656061170
"130252",-0.95001884913,-80.07762038690
"130157",-1.02112413956,-80.18807986460
"1302",-0.90873967952,-80.03272437430
"130150",-1.08317362074,-80.46217303050
"131952",-1.63720162823,-80.80253564830
"130357",-0.66308181481,-80.19540716090
"131551",-0.76489667988,-80.19218918830
"1301",-1.04397111417,-80.36558641310
"131353",-1.22216352352,-80.17618645140
"132050",-0.22084778368,-80.22825092000
"131950",-1.59674662427,-80.73620318730
"130155",-0.98794802435,-80.39266667880
"1316",-1.37744037844,-80.37918288660
"130551",-0.15674637994,-79.78561441360
"130651",-1.42862732818,-80.51725650870
"130652",-1.50028130650,-80.52835069550
"130355",-0.40431241226,-80.08011782690
"1308",-1.02697547546,-80.80383730600
"130353",-0.27929226376,-80.05297339350
"131355",-1.21013185261,-80.05555265340
"130657",-1.66324531448,-80.57774762920
"131750",0.02520132297,-79.86404346640
"131650",-1.29327350072,-80.43358656030
"1322",-0.47748585350,-80.35916730090
"130250",-0.85115875410,-80.15356389630
"1304",-0.43621973285,-79.57202549910
"1311",-0.80173209785,-79.76454694070
"131751",0.22298446377,-79.86418242250
"131150",-0.95142824451,-79.84703710370
"131351",-1.14802117199,-80.27691216690
"131752",-0.13371146228,-80.05100046310
"1309",-1.11956413153,-80.69313463920
"131450",-0.67755325333,-80.39530855860
"130952",-1.13534383284,-80.58512280010
"130850",-0.97244673129,-80.74077063780
"1307",-0.94371802529,-80.19571733280
"1318",-1.36251577648,-80.21339774600
"131152",-1.07812688413,-79.97431170500
"131050",-1.55029247097,-80.45814429150
"1303",-0.57835621865,-80.11054474710
"130451",-0.33071896978,-79.64738425140
"131951",-1.46743690687,-80.73930134500
"131850",-1.36251577648,-80.21339774600
"1320",-0.22084778368,-80.22825092000
"130156",-1.04094639302,-80.07054815440
"130653",-1.50039279463,-80.64017426070
"1306",-1.43519361052,-80.59703781590
"130450",-0.39019436113,-79.53830728330
"130152",-1.06063620000,-80.27604429740
"1310",-1.66777459415,-80.40102453080
"130950",-1.11675734236,-80.71234393900
"1315",-0.77987768562,-80.27232159970
"131753",-0.03779744915,-79.96100571900
"130151",-1.04665767102,-80.32475187250
"1312",-0.90784026828,-80.41057159510
"1319",-1.56363164762,-80.75064870720
"130851",-1.07179984577,-80.82630918580
"130354",-0.05461362783,-79.74666373040
"130154",-0.97826382963,-80.30564841880
"130452",-0.16673241630,-79.56423488460
"130454",-0.59405463292,-79.53513679470
"131054",-1.51949435546,-80.25063332090
"131151",-0.74742413880,-79.79330999000
"132250",-0.55638131143,-80.32993310010
"131350",-1.22699820883,-80.35544242650
"131052",-1.77637464834,-80.47311174740
"130650",-1.30531642579,-80.56315932230
"130153",-0.88725291706,-80.53405568730
"130352",-0.80031455387,-80.05651843920
"131457",-0.36537793616,-80.20399574570
"1314",-0.73755443358,-80.42533324540
"130550",-0.34861475718,-79.80378932930
"131552",-0.83776268277,-80.24906207680
"131651",-1.37046808490,-80.31754408770
"130656",-1.23121333963,-80.67086449410
"130750",-0.94371802529,-80.19571733280
"1317",0.10218272520,-79.89355410820
"1313",-1.19554683383,-80.20601725530
"1321",-0.97538426225,-80.60470386070
"130356",-0.55660095618,-80.00977802130
"130552",-0.45478408417,-79.98132211180
"131352",-1.10935734577,-80.13878269660
"1305",-0.32419449303,-79.81768975460
"131053",-1.64291146378,-80.27258839150
"130453",-0.72732096269,-79.62061060690
"131653",-1.47569634843,-80.31247364680
"131051",-1.62554512416,-80.37592047440
"131250",-0.90784026828,-80.41057159510
"130658",-1.31415878366,-80.71474483900
"130251",-0.87015130440,-79.94525243610
"131652",-1.44732274168,-80.38719372010
"130654",-1.47282583995,-80.42546733390
"13",-0,75133348138,-80,13613342750
